source_id,target_id,relation_type,relation_content
4,29,type,Rainfall-induced Debris Flow
4,29,method,Remote Sensing and Imaging
4,39,type,Rainfall-induced Debris Flow
4,39,loss,Other
4,39,factor,Other
4,57,time,"('2010-02-20', '2010-02-20')"
4,68,loss,Other
4,68,factor,Other
4,76,loss,Other
4,168,time,"('2010-02-20', '2010-02-20')"
4,188,type,Rainfall-induced Debris Flow
4,265,loss,Other
4,265,method,Remote Sensing and Imaging
4,366,loss,Other
4,380,loss,Other
4,392,loss,Other
4,414,factor,Other
4,425,loss,Other
4,437,loss,Other
4,459,time,"('2010-02-20', '2010-02-20')"
4,465,location,Portugal
4,468,loss,Other
4,513,loss,Other
4,586,factor,Other
4,589,type,Rainfall-induced Debris Flow
4,589,loss,Other
4,603,type,Rainfall-induced Debris Flow
4,603,loss,Other
4,613,loss,Other
4,661,loss,Other
4,705,factor,Other
4,706,method,Remote Sensing and Imaging
4,725,time,"('2010-02-20', '2010-02-20')"
4,756,time,"('2010-02-20', '2010-02-20')"
4,756,factor,Other
4,793,factor,Other
4,811,loss,Other
4,811,method,Remote Sensing and Imaging
4,819,method,Remote Sensing and Imaging
4,831,factor,Other
4,858,method,Remote Sensing and Imaging
4,861,time,"('2010-02-20', '2010-02-20')"
4,884,type,Rainfall-induced Debris Flow
4,911,location,Portugal
4,911,loss,Other
4,911,factor,Other
4,922,loss,Other
4,922,method,Remote Sensing and Imaging
4,956,factor,Other
4,994,loss,Other
4,1002,loss,Other
4,1026,type,Rainfall-induced Debris Flow
4,1026,factor,Other
4,1056,factor,Other
4,1088,method,Remote Sensing and Imaging
4,1110,type,Rainfall-induced Debris Flow
4,1127,time,"('2010-02-20', '2010-02-20')"
4,1224,loss,Other
4,1253,method,Remote Sensing and Imaging
4,1281,factor,Other
4,1306,type,Rainfall-induced Debris Flow
4,1349,time,"('2010-02-20', '2010-02-20')"
4,1349,location,"Portugal,Madeira"
4,1380,loss,Other
4,1410,loss,Other
4,1455,time,"('2010-02-20', '2010-02-20')"
4,1463,factor,Other
4,1487,factor,Other
4,1494,time,"('2010-02-20', '2010-02-20')"
4,1494,loss,Other
4,1505,factor,Other
4,1575,loss,Other
4,1678,loss,Other
4,1693,factor,Other
4,1702,loss,Other
4,1714,loss,Other
4,1728,loss,Other
4,1743,factor,Other
4,1753,factor,Other
4,1766,loss,Other
4,1795,loss,Other
4,1814,type,Rainfall-induced Debris Flow
4,1814,loss,Other
4,1849,loss,Other
4,1865,loss,Other
4,1866,loss,Other
4,1866,method,Remote Sensing and Imaging
4,1888,factor,Other
4,1899,loss,Other
4,1915,factor,Other
4,1975,loss,Other
4,1990,type,Rainfall-induced Debris Flow
4,1990,factor,Other
4,2041,factor,Other
16,83,time,"('1999-03-28', '1999-03-28')"
16,256,loss,Slight Loss
16,372,time,"('1999-03-28', '1999-03-28')"
16,392,time,"('1999-03-28', '1999-03-28')"
16,425,time,"('1999-03-28', '1999-03-28')"
16,433,loss,Slight Loss
16,473,loss,Slight Loss
16,701,time,"('1999-03-28', '1999-03-28')"
16,756,time,"('1999-03-28', '1999-03-28')"
16,784,time,"('1999-03-28', '1999-03-28')"
16,784,loss,Slight Loss
16,793,location,India
16,841,loss,Slight Loss
16,861,time,"('1999-03-28', '1999-03-28')"
16,956,loss,Slight Loss
16,1056,loss,Slight Loss
16,1127,time,"('1999-03-28', '1999-03-28')"
16,1494,location,"India,Uttarakhand,Garhwal Division"
16,1608,location,India
16,1714,time,"('1999-03-28', '1999-03-28')"
16,1743,loss,Slight Loss
16,1753,loss,Slight Loss
16,1888,time,"('1999-03-28', '1999-03-28')"
16,1910,loss,Slight Loss
16,2035,loss,Slight Loss
29,39,location,China
29,39,type,Rainfall-induced Debris Flow
29,48,location,China
29,68,scale,Large
29,76,location,China
29,152,location,China
29,168,time,"('2013-04-04', '2013-04-04')"
29,168,location,China
29,188,type,Rainfall-induced Debris Flow
29,265,scale,Large
29,265,method,Remote Sensing and Imaging
29,295,location,China
29,344,scale,Large
29,366,location,China
29,366,scale,Large
29,372,location,China
29,380,location,China
29,392,location,China
29,425,location,China
29,459,location,China
29,468,location,China
29,501,location,China
29,513,location,China
29,513,scale,Large
29,586,location,China
29,586,scale,Large
29,589,type,Rainfall-induced Debris Flow
29,603,location,China
29,603,type,Rainfall-induced Debris Flow
29,705,location,China
29,706,method,Remote Sensing and Imaging
29,756,time,"('2013-04-04', '2013-04-04')"
29,784,location,China
29,811,location,China
29,811,method,Remote Sensing and Imaging
29,819,method,Remote Sensing and Imaging
29,831,location,China
29,858,location,China
29,858,scale,Large
29,858,method,Remote Sensing and Imaging
29,863,location,China
29,884,location,China
29,884,type,Rainfall-induced Debris Flow
29,922,method,Remote Sensing and Imaging
29,943,location,China
29,956,location,China
29,994,location,China
29,1000,location,China
29,1002,location,China
29,1005,location,China
29,1026,type,Rainfall-induced Debris Flow
29,1056,location,China
29,1085,location,China
29,1088,method,Remote Sensing and Imaging
29,1110,type,Rainfall-induced Debris Flow
29,1127,time,"('2013-04-04', '2013-04-04')"
29,1173,location,China
29,1173,scale,Large
29,1224,scale,Large
29,1228,location,China
29,1248,location,"China,Chongqing"
29,1253,method,Remote Sensing and Imaging
29,1281,location,China
29,1306,type,Rainfall-induced Debris Flow
29,1380,location,China
29,1380,scale,Large
29,1410,scale,Large
29,1431,location,China
29,1455,location,China
29,1463,location,China
29,1491,location,China
29,1575,location,China
29,1636,location,China
29,1678,scale,Large
29,1690,location,China
29,1693,location,China
29,1693,scale,Large
29,1698,location,China
29,1698,scale,Large
29,1701,location,China
29,1702,scale,Large
29,1704,location,"China,Chongqing"
29,1712,location,China
29,1743,location,China
29,1753,location,China
29,1795,location,China
29,1814,location,China
29,1814,type,Rainfall-induced Debris Flow
29,1849,location,China
29,1850,location,China
29,1865,location,China
29,1865,scale,Large
29,1866,location,China
29,1866,scale,Large
29,1866,method,Remote Sensing and Imaging
29,1899,location,"China,Chongqing"
29,1900,time,"('2013-04-04', '2013-04-04')"
29,1900,location,China
29,1910,location,China
29,1915,location,China
29,1948,location,China
29,1948,scale,Large
29,1974,location,China
29,1975,location,China
29,1990,type,Rainfall-induced Debris Flow
29,2019,location,China
29,2019,scale,Large
29,2023,location,China
33,39,control,Infrastructure and Construction Measures
33,57,control,Infrastructure and Construction Measures
33,168,time,"('2013-07-08', '2013-07-08')"
33,170,factor,Geologic Factors
33,170,control,Infrastructure and Construction Measures
33,265,factor,Geologic Factors
33,372,type,Earthquake-induced Debris Flow
33,459,factor,Geologic Factors
33,465,method,Field Studies and Experiments
33,468,factor,Geologic Factors
33,513,method,Field Studies and Experiments
33,534,factor,Geologic Factors
33,603,factor,Geologic Factors
33,661,factor,Geologic Factors
33,661,control,Infrastructure and Construction Measures
33,701,control,Infrastructure and Construction Measures
33,725,factor,Geologic Factors
33,756,time,"('2013-07-08', '2013-07-08')"
33,771,method,Field Studies and Experiments
33,863,method,Field Studies and Experiments
33,863,factor,Geologic Factors
33,1000,control,Infrastructure and Construction Measures
33,1085,method,Field Studies and Experiments
33,1104,control,Infrastructure and Construction Measures
33,1127,time,"('2013-07-08', '2013-07-08')"
33,1173,control,Infrastructure and Construction Measures
33,1224,method,Field Studies and Experiments
33,1271,method,Field Studies and Experiments
33,1281,control,Infrastructure and Construction Measures
33,1306,method,Field Studies and Experiments
33,1380,method,Field Studies and Experiments
33,1380,factor,Geologic Factors
33,1431,control,Infrastructure and Construction Measures
33,1521,method,Field Studies and Experiments
33,1532,factor,Geologic Factors
33,1636,method,Field Studies and Experiments
33,1636,factor,Geologic Factors
33,1688,factor,Geologic Factors
33,1688,control,Infrastructure and Construction Measures
33,1698,type,Earthquake-induced Debris Flow
33,1704,factor,Geologic Factors
33,1714,factor,Geologic Factors
33,1758,method,Field Studies and Experiments
33,1849,control,Infrastructure and Construction Measures
33,1900,time,"('2013-07-08', '2013-07-08')"
33,1900,factor,Geologic Factors
33,1910,method,Field Studies and Experiments
33,1910,factor,Geologic Factors
33,1915,method,Field Studies and Experiments
33,1948,method,Field Studies and Experiments
33,1975,factor,Geologic Factors
33,2023,type,Earthquake-induced Debris Flow
33,2023,control,Infrastructure and Construction Measures
33,2035,control,Infrastructure and Construction Measures
33,2041,control,Infrastructure and Construction Measures
39,48,location,"China,Sichuan,Ngawa Tibetan and Qiang Autonomous Prefecture"
39,48,scale,Huge
39,57,control,Infrastructure and Construction Measures
39,68,loss,Other
39,68,factor,Other
39,76,location,China
39,76,loss,Other
39,76,scale,Huge
39,152,location,China
39,168,location,China
39,170,control,Infrastructure and Construction Measures
39,188,type,Rainfall-induced Debris Flow
39,265,loss,Other
39,295,location,"China,Sichuan,Ngawa Tibetan and Qiang Autonomous Prefecture"
39,295,scale,Huge
39,366,location,"China,Sichuan"
39,366,loss,Other
39,372,location,China
39,372,scale,Huge
39,380,location,China
39,380,loss,Other
39,380,scale,Huge
39,392,location,China
39,392,loss,Other
39,414,factor,Other
39,425,location,China
39,425,loss,Other
39,437,loss,Other
39,454,scale,Huge
39,459,time,"('2008-01-01', '2008-12-31')"
39,459,location,China
39,468,location,China
39,468,loss,Other
39,501,location,"China,Sichuan"
39,513,time,"('2008-01-01', '2008-12-31')"
39,513,location,"China,Sichuan,Ngawa Tibetan and Qiang Autonomous Prefecture"
39,513,loss,Other
39,586,location,China
39,586,factor,Other
39,589,type,Rainfall-induced Debris Flow
39,589,loss,Other
39,589,scale,Huge
39,603,location,"China,Sichuan"
39,603,type,Rainfall-induced Debris Flow
39,603,loss,Other
39,613,loss,Other
39,661,time,"('2008-01-01', '2008-12-31')"
39,661,loss,Other
39,661,control,Infrastructure and Construction Measures
39,701,control,Infrastructure and Construction Measures
39,705,location,China
39,705,factor,Other
39,756,time,"('2008-01-01', '2008-12-31')"
39,756,factor,Other
39,784,time,"('2008-01-01', '2008-12-31')"
39,784,location,China
39,793,factor,Other
39,811,time,"('2008-05-12', '2008-05-12')"
39,811,location,"China,Sichuan"
39,811,loss,Other
39,811,scale,Huge
39,831,location,"China,Sichuan"
39,831,scale,Huge
39,831,factor,Other
39,858,location,China
39,861,time,"('2008-01-01', '2008-12-31')"
39,863,location,"China,Sichuan,Ngawa Tibetan and Qiang Autonomous Prefecture"
39,884,location,"China,Sichuan"
39,884,type,Rainfall-induced Debris Flow
39,884,scale,Huge
39,911,loss,Other
39,911,factor,Other
39,922,loss,Other
39,943,time,"('2008-05-12', '2008-05-12')"
39,943,location,"China,Sichuan"
39,956,location,China
39,956,factor,Other
39,994,location,"China,Sichuan,Ngawa Tibetan and Qiang Autonomous Prefecture"
39,994,loss,Other
39,994,index,Unresolved
39,1000,location,China
39,1000,control,Infrastructure and Construction Measures
39,1002,time,"('2008-05-12', '2008-05-12')"
39,1002,location,"China,Sichuan"
39,1002,loss,Other
39,1002,scale,Huge
39,1005,location,China
39,1026,type,Rainfall-induced Debris Flow
39,1026,factor,Other
39,1056,location,China
39,1056,factor,Other
39,1085,location,"China,Sichuan"
39,1085,scale,Huge
39,1088,scale,Huge
39,1104,control,Infrastructure and Construction Measures
39,1110,type,Rainfall-induced Debris Flow
39,1127,time,"('2008-01-01', '2008-12-31')"
39,1173,location,China
39,1173,control,Infrastructure and Construction Measures
39,1224,loss,Other
39,1228,location,China
39,1235,scale,Huge
39,1248,location,China
39,1248,scale,Huge
39,1253,time,"('2008-06-01', '2008-06-30')"
39,1271,scale,Huge
39,1281,location,"China,Sichuan"
39,1281,factor,Other
39,1281,control,Infrastructure and Construction Measures
39,1298,scale,Huge
39,1306,type,Rainfall-induced Debris Flow
39,1380,location,"China,Sichuan,Ngawa Tibetan and Qiang Autonomous Prefecture"
39,1380,loss,Other
39,1384,scale,Huge
39,1410,loss,Other
39,1431,location,"China,Sichuan"
39,1431,scale,Huge
39,1431,control,Infrastructure and Construction Measures
39,1455,location,China
39,1463,location,"China,Sichuan"
39,1463,factor,Other
39,1487,time,"('2008-01-01', '2008-12-31')"
39,1487,factor,Other
39,1491,location,"China,Sichuan,Ngawa Tibetan and Qiang Autonomous Prefecture"
39,1494,loss,Other
39,1505,factor,Other
39,1535,scale,Huge
39,1575,location,China
39,1575,loss,Other
39,1575,scale,Huge
39,1636,location,China
39,1678,loss,Other
39,1688,control,Infrastructure and Construction Measures
39,1690,location,China
39,1690,scale,Huge
39,1693,location,China
39,1693,factor,Other
39,1698,time,"('2008-05-12', '2008-05-12')"
39,1698,location,"China,Sichuan"
39,1701,location,"China,Sichuan"
39,1701,scale,Huge
39,1702,loss,Other
39,1704,location,China
39,1704,scale,Huge
39,1712,location,China
39,1714,loss,Other
39,1728,loss,Other
39,1743,location,China
39,1743,factor,Other
39,1753,location,"China,Sichuan"
39,1753,factor,Other
39,1766,loss,Other
39,1795,time,"('2008-01-01', '2008-12-31')"
39,1795,location,China
39,1795,loss,Other
39,1814,location,China
39,1814,type,Rainfall-induced Debris Flow
39,1814,loss,Other
39,1849,location,China
39,1849,loss,Other
39,1849,scale,Huge
39,1849,control,Infrastructure and Construction Measures
39,1850,location,China
39,1865,location,China
39,1865,loss,Other
39,1866,location,China
39,1866,loss,Other
39,1888,scale,Huge
39,1888,factor,Other
39,1899,location,China
39,1899,loss,Other
39,1900,location,"China,Sichuan"
39,1910,location,"China,Sichuan"
39,1915,time,"('2008-08-30', '2008-08-30')"
39,1915,location,China
39,1915,factor,Other
39,1948,time,"('2008-05-12', '2008-05-12')"
39,1948,location,China
39,1974,location,China
39,1974,scale,Huge
39,1975,location,China
39,1975,loss,Other
39,1990,type,Rainfall-induced Debris Flow
39,1990,factor,Other
39,2019,location,China
39,2023,time,"('2008-05-12', '2008-05-12')"
39,2023,location,"China,Sichuan,Ngawa Tibetan and Qiang Autonomous Prefecture"
39,2023,scale,Huge
39,2023,control,Infrastructure and Construction Measures
39,2035,control,Infrastructure and Construction Measures
39,2041,factor,Other
39,2041,control,Infrastructure and Construction Measures
48,76,location,China
48,76,scale,Huge
48,83,loss,Huge Loss
48,152,location,China
48,168,location,China
48,188,loss,Huge Loss
48,295,time,"('2017-06-24', '2017-06-24')"
48,295,location,"China,Sichuan,Ngawa Tibetan and Qiang Autonomous Prefecture"
48,295,loss,Huge Loss
48,295,scale,Huge
48,298,loss,Huge Loss
48,366,location,"China,Sichuan"
48,372,location,China
48,372,scale,Huge
48,380,location,China
48,380,scale,Huge
48,392,location,China
48,414,loss,Huge Loss
48,425,location,China
48,454,loss,Huge Loss
48,454,scale,Huge
48,459,location,China
48,465,loss,Huge Loss
48,468,location,China
48,501,location,"China,Sichuan"
48,501,loss,Huge Loss
48,513,location,"China,Sichuan,Ngawa Tibetan and Qiang Autonomous Prefecture"
48,534,loss,Huge Loss
48,548,loss,Huge Loss
48,549,loss,Huge Loss
48,552,loss,Huge Loss
48,586,location,China
48,586,loss,Huge Loss
48,589,scale,Huge
48,603,location,"China,Sichuan"
48,705,location,China
48,705,loss,Huge Loss
48,725,loss,Huge Loss
48,784,location,China
48,793,loss,Huge Loss
48,811,location,"China,Sichuan"
48,811,scale,Huge
48,831,location,"China,Sichuan"
48,831,loss,Huge Loss
48,831,scale,Huge
48,858,location,China
48,863,location,"China,Sichuan,Ngawa Tibetan and Qiang Autonomous Prefecture"
48,884,location,"China,Sichuan"
48,884,scale,Huge
48,943,location,"China,Sichuan"
48,943,loss,Huge Loss
48,956,location,China
48,994,time,"('2017-06-24', '2017-06-24')"
48,994,location,"China,Sichuan,Ngawa Tibetan and Qiang Autonomous Prefecture"
48,1000,location,China
48,1002,location,"China,Sichuan"
48,1002,scale,Huge
48,1005,location,China
48,1026,loss,Huge Loss
48,1056,location,China
48,1085,location,"China,Sichuan"
48,1085,scale,Huge
48,1088,loss,Huge Loss
48,1088,scale,Huge
48,1104,loss,Huge Loss
48,1127,loss,Huge Loss
48,1173,location,China
48,1228,location,China
48,1235,loss,Huge Loss
48,1235,scale,Huge
48,1248,location,China
48,1248,scale,Huge
48,1253,loss,Huge Loss
48,1271,scale,Huge
48,1281,location,"China,Sichuan"
48,1281,loss,Huge Loss
48,1298,loss,Huge Loss
48,1298,scale,Huge
48,1339,loss,Huge Loss
48,1349,loss,Huge Loss
48,1380,location,"China,Sichuan,Ngawa Tibetan and Qiang Autonomous Prefecture"
48,1384,scale,Huge
48,1431,location,"China,Sichuan"
48,1431,scale,Huge
48,1455,location,China
48,1463,location,"China,Sichuan"
48,1472,loss,Huge Loss
48,1487,loss,Huge Loss
48,1491,location,"China,Sichuan,Ngawa Tibetan and Qiang Autonomous Prefecture"
48,1521,loss,Huge Loss
48,1535,loss,Huge Loss
48,1535,scale,Huge
48,1575,location,China
48,1575,scale,Huge
48,1608,loss,Huge Loss
48,1636,location,China
48,1636,loss,Huge Loss
48,1690,location,China
48,1690,loss,Huge Loss
48,1690,scale,Huge
48,1693,location,China
48,1693,loss,Huge Loss
48,1698,location,"China,Sichuan"
48,1698,loss,Huge Loss
48,1701,location,"China,Sichuan"
48,1701,scale,Huge
48,1704,location,China
48,1704,scale,Huge
48,1712,location,China
48,1712,loss,Huge Loss
48,1743,location,China
48,1753,location,"China,Sichuan"
48,1795,location,China
48,1814,location,China
48,1849,location,China
48,1849,scale,Huge
48,1850,location,China
48,1865,location,China
48,1866,location,China
48,1888,scale,Huge
48,1899,location,China
48,1900,location,"China,Sichuan"
48,1900,loss,Huge Loss
48,1910,location,"China,Sichuan"
48,1915,location,China
48,1923,loss,Huge Loss
